,seller_id,buyer_id,product_id,order_id,quantity
0,134,553,15323,cbf2735b6e695807390b6aba65147a6e,3
1,50,829,11897,0447eb2181081e234cdb6ba13c5f3da9,3
2,53,741,7724,ee745c03e774991a1f5c8d34732b49a7,2
3,145,999,19202,fb2314a1606b47ffcf59320f82f33f2a,4
4,42,654,3282,440459c292d0da097c2fa7ea9e434eed,1
5,8,577,1833,80e72c6f5b4d0bae32fc0ddaff7e3f87,4
6,193,429,11261,549ed494ca85a55d644de63ab3e6da96,1
7,102,265,13316,f1d972cffe12e2ae1cdd9ca8d099a6ee,2
8,98,36,17897,85ac4939b847c5beb092f1ba02629d94,2
9,53,85,955,a21ab73c3e98fb8166bb8686104f985e,2
10,32,124,14210,7b524f1e3952bdfd701c13a68f8faa9b,1
11,107,175,6416,cc7cf2c098eefffe7c72ee2244040192,1
12,191,735,5900,2cee1753bdc9698f3075b2b3f281ff49,2
13,133,307,822,76a086cdae692679d042d1d4f1bbf6eb,3
14,159,161,5634,688782896eca076c8065370273f7b8db,4
15,165,211,19398,6cabb88654d6204ca6b8b3c92c244358,2
16,111,509,9903,c8558061267a13aaa57bcd3b57d6cb6f,4
17,92,475,12456,418e7d1725568803e9fc84e2a5387613,3
18,2,400,18115,8cb0825dfce3c80bbdb40e30ec735781,1
19,46,846,12617,300ff081a114ecac26e2332b7462792a,4
20,61,169,13999,6f7396e8021bffdb24874b6807f8a2bc,3
21,90,894,10633,c16549b8b0b55f4838a38a46663d2d2b,1
22,133,41,2899,7fe10610f676efe5a1981a75282ab410,1
23,25,39,2413,05f939949b436246b540120a9967fb08,2
24,127,673,14151,328bd90875175d11c1446cbd81a9298d,2
25,135,448,12096,1d569182e45106c752ced5d847a3f7c5,4
26,100,985,898,67239d854337252563509fb2383f0320,1
27,34,151,3326,18be6421939ac5878272991366c0e739,2
28,14,897,4105,ce448bed2fd97b6595fe77bde03397b5,1
29,78,896,2481,91d3269da0ef0efdf4427086a72c189b,3
30,27,397,14712,042cffe19e3e58091b5a4afe2c8699b2,1
31,11,189,14381,a01d655f651e6a8591163ac7c5bab80e,4
32,124,105,7758,51e42a2e36a3983cf1415963d12dec32,2
33,130,484,1945,1665cb0f1e8a50fd8a57a36c22b40685,2
34,116,25,5482,21970a58a76b967c6a26b6769d933030,2
35,164,171,10877,25951b0961f59963198f2230a0003b50,3
36,176,715,10861,18fc39082ac788be92bac152633159ec,3
37,125,292,16514,58a97e8b846942bb93976a30a1c7c351,3
38,112,175,6398,efa1cabe65786f0e68cf99603c7edb06,3
39,163,290,4107,e9bb80cfda1c0739989fdff910710e2d,1
40,45,988,11199,5f9bbc3053aede33f5c1563a33c0d0e3,4
41,108,184,5456,c50d9fc34bdc2427a57205f027d0cd54,4
42,124,770,1853,e2e236ee645a38cf79794052d8e091d3,4
43,105,692,4341,6a992717bb11a78f48408390cb41f217,2
44,152,514,5470,fed7bdeb3f4e9fd0f1ac1beacf15a2ed,2
45,118,235,17835,ec8ffe51ad388a6f7d75c35de0dd22d6,3
46,46,709,17762,b3ad2626129ccc49f84d454056da9349,2
47,166,999,3198,d8d8933d3020b98a0745f2bfb371fe4b,1
48,125,298,1335,d7973391ec6efffe5a1fa1b6457592e7,1
49,20,994,19448,2ca7d6d17d36d27e280007615f154f34,2
50,155,119,12547,65d462e250951b4515810cad20ab6bb3,4
51,109,78,9024,778ce55c21711c7b762114ab46eb773f,4
52,16,527,9475,a3e27ca846f63fa3513e4e529280dc3c,4
53,95,52,5760,707ca813985f2681ee93adfb176610c6,2
54,16,727,16442,323c24b0c69fcd645e679b5089022ad4,3
55,199,679,6562,550c88932682fb64aef25258e71bd57d,1
56,181,813,7644,a3ca219ccf61e8e86d808da3de5773df,2
57,159,719,10552,4005b05333f5da2cb28e680550c8d9f0,1
58,116,702,9464,0ef97693935c1afbceeffd8ebf647078,4
59,32,903,4692,8590d35a3a2346c29f25f2ef6b77c248,4
60,49,843,15656,d58c37958e0ae7a2af276a664d53ab5c,3
