notif_id,user_id,seen,text,timestamp
0,134,0,,2014-10-20 14:09:46
1,50,0,,2014-09-28 22:06:13
2,53,0,,2014-08-26 04:07:51
3,145,0,,2014-08-24 19:33:53
4,42,0,,2014-07-28 01:04:00
5,8,0,,2014-07-19 22:36:08
6,193,0,,2014-05-31 07:02:17
7,102,0,,2013-09-22 22:25:07
8,98,0,,2013-07-17 10:48:18
9,53,0,,2013-04-13 08:50:27
10,32,0,,2013-03-09 21:55:54
11,107,0,,2013-01-28 02:52:25
12,191,0,,2013-01-04 14:24:30
13,133,0,,2012-07-30 13:33:56
14,159,0,,2010-03-12 16:16:48
15,165,0,,2017-10-31 08:57:35
16,111,0,,2017-10-25 03:00:44
17,92,0,,2017-10-14 01:03:52
18,2,0,,2017-10-11 11:02:52
19,46,0,,2017-10-07 22:19:05
20,61,0,,2017-09-18 00:35:08
21,90,0,,2017-07-27 18:24:48
22,133,0,,2017-07-16 23:17:21
23,25,0,,2017-07-02 18:27:30
24,127,0,,2017-06-27 23:47:30
25,135,0,,2017-06-23 00:28:55
26,100,0,,2017-06-08 18:14:05
27,34,0,,2017-05-29 17:10:51
28,14,0,,2017-05-28 21:12:35
29,78,0,,2017-05-05 21:41:45
30,27,0,,2017-04-26 20:57:28
31,11,0,,2017-04-27 01:21:38
32,124,0,,2017-04-23 01:15:57
33,130,0,,2017-03-29 06:36:16
34,116,0,,2017-03-18 15:07:16
35,164,0,,2017-02-01 22:01:09
36,176,0,,2017-01-27 00:42:00
37,125,0,,2017-01-25 16:38:04
38,112,0,,2017-01-17 18:50:31
39,163,0,,2017-01-07 18:51:21
40,45,0,,2016-12-23 01:27:17
41,108,0,,2016-12-16 18:46:59
42,124,0,,2016-11-17 02:01:46
43,105,0,,2016-10-26 05:51:58
44,152,0,,2016-10-22 12:49:16
45,118,0,,2016-10-18 19:36:54
46,46,0,,2016-10-11 18:29:10
47,166,0,,2016-09-26 19:02:34
48,125,0,,2016-09-14 22:39:42
49,20,0,,2016-09-11 11:30:20
50,155,0,,2016-08-21 05:32:44
51,109,0,,2016-08-03 00:09:23
52,16,0,,2016-07-31 00:09:15
53,95,0,,2016-07-21 11:35:46
54,16,0,,2016-05-11 13:06:12
55,199,0,,2016-05-06 22:28:20
56,181,0,,2016-03-10 22:45:57
57,159,0,,2015-09-18 01:56:45
58,116,0,,2015-09-03 09:52:20
59,32,0,,2015-08-20 03:32:02
60,49,0,,2015-08-15 18:11:37
61,85,0,,2015-08-05 22:10:16
62,40,0,,2015-07-19 05:22:37
63,179,0,,2015-06-04 14:50:07
64,116,0,,2015-06-02 21:12:11
65,128,0,,2015-05-16 03:43:17
66,144,0,,2015-05-12 03:50:12
67,108,0,,2015-05-11 10:24:17
68,5,0,,2015-05-07 07:19:34
69,82,0,,2015-04-27 00:08:33
70,26,0,,2015-04-16 15:36:20
71,56,0,,2015-03-21 10:35:54
72,166,0,,2015-03-19 06:54:00
73,73,0,,2015-03-17 16:39:23
74,4,0,,2015-03-06 18:13:45
75,149,0,,2015-02-02 07:46:03
76,9,0,,2015-01-13 21:22:24
77,121,0,,2015-01-09 12:42:39
78,58,0,,2014-10-09 10:53:51
79,105,0,,2014-09-11 17:03:03
80,169,0,,2014-09-05 14:33:27
81,76,0,,2014-08-19 07:32:19
82,61,0,,2014-08-02 15:45:04
83,99,0,,2014-07-29 15:17:25
84,83,0,,2014-07-16 01:30:40
85,187,0,,2014-05-28 12:51:06
86,100,0,,2014-05-08 20:02:25
87,199,0,,2014-04-15 22:07:23
88,60,0,,2014-03-02 00:26:57
