,payment_id,amount,timestamp,id
0,3,12600.0,2014-10-20 08:09:46,cbf2735b6e695807390b6aba65147a6e
1,3,3897.0,2014-09-28 16:06:13,0447eb2181081e234cdb6ba13c5f3da9
2,2,3200.0,2014-08-25 22:07:51,ee745c03e774991a1f5c8d34732b49a7
3,3,9996.0,2014-08-24 13:33:53,fb2314a1606b47ffcf59320f82f33f2a
4,2,799.0,2014-07-27 19:04:00,440459c292d0da097c2fa7ea9e434eed
5,2,3420.0,2014-07-19 16:36:08,80e72c6f5b4d0bae32fc0ddaff7e3f87
6,1,1600.0,2014-05-31 01:02:17,549ed494ca85a55d644de63ab3e6da96
7,2,76282.0,2013-09-22 16:25:07,f1d972cffe12e2ae1cdd9ca8d099a6ee
8,1,1998.0,2013-07-17 04:48:18,85ac4939b847c5beb092f1ba02629d94
9,2,1998.0,2013-04-13 02:50:27,a21ab73c3e98fb8166bb8686104f985e
10,3,1399.0,2013-03-09 15:55:54,7b524f1e3952bdfd701c13a68f8faa9b
11,1,1186.0,2013-01-27 20:52:25,cc7cf2c098eefffe7c72ee2244040192
12,1,298.0,2013-01-04 08:24:30,2cee1753bdc9698f3075b2b3f281ff49
13,2,4335.0,2012-07-30 07:33:56,76a086cdae692679d042d1d4f1bbf6eb
14,3,1440.0,2010-03-12 10:16:48,688782896eca076c8065370273f7b8db
15,2,2998.0,2017-10-31 02:57:35,6cabb88654d6204ca6b8b3c92c244358
16,1,4200.0,2017-10-24 21:00:44,c8558061267a13aaa57bcd3b57d6cb6f
17,1,113610.0,2017-10-13 19:03:52,418e7d1725568803e9fc84e2a5387613
18,2,15783.0,2017-10-11 05:02:52,8cb0825dfce3c80bbdb40e30ec735781
19,3,147976.0,2017-10-07 16:19:05,300ff081a114ecac26e2332b7462792a
20,1,2997.0,2017-09-17 18:35:08,6f7396e8021bffdb24874b6807f8a2bc
21,1,999.0,2017-07-27 12:24:48,c16549b8b0b55f4838a38a46663d2d2b
22,1,8400.0,2017-07-16 17:17:21,7fe10610f676efe5a1981a75282ab410
23,1,1800.0,2017-07-02 12:27:30,05f939949b436246b540120a9967fb08
24,3,1998.0,2017-06-27 17:47:30,328bd90875175d11c1446cbd81a9298d
25,1,4956.0,2017-06-22 18:28:55,1d569182e45106c752ced5d847a3f7c5
26,1,1499.0,2017-06-08 12:14:05,67239d854337252563509fb2383f0320
27,2,1198.0,2017-05-29 11:10:51,18be6421939ac5878272991366c0e739
28,2,2450.0,2017-05-28 15:12:35,ce448bed2fd97b6595fe77bde03397b5
29,2,5340.0,2017-05-05 15:41:45,91d3269da0ef0efdf4427086a72c189b
30,2,950.0,2017-04-26 14:57:28,042cffe19e3e58091b5a4afe2c8699b2
31,1,6996.0,2017-04-26 19:21:38,a01d655f651e6a8591163ac7c5bab80e
32,3,700.0,2017-04-22 19:15:57,51e42a2e36a3983cf1415963d12dec32
33,1,1798.0,2017-03-29 00:36:16,1665cb0f1e8a50fd8a57a36c22b40685
34,1,1998.0,2017-03-18 09:07:16,21970a58a76b967c6a26b6769d933030
35,2,1503.0,2017-02-01 16:01:09,25951b0961f59963198f2230a0003b50
36,2,2097.0,2017-01-26 18:42:00,18fc39082ac788be92bac152633159ec
37,2,8997.0,2017-01-25 10:38:04,58a97e8b846942bb93976a30a1c7c351
38,1,1497.0,2017-01-17 12:50:31,efa1cabe65786f0e68cf99603c7edb06
39,1,4200.0,2017-01-07 12:51:21,e9bb80cfda1c0739989fdff910710e2d
40,3,55600.0,2016-12-22 19:27:17,5f9bbc3053aede33f5c1563a33c0d0e3
41,2,2400.0,2016-12-16 12:46:59,c50d9fc34bdc2427a57205f027d0cd54
42,1,1996.0,2016-11-16 20:01:46,e2e236ee645a38cf79794052d8e091d3
43,1,9800.0,2016-10-25 23:51:58,6a992717bb11a78f48408390cb41f217
44,3,998.0,2016-10-22 06:49:16,fed7bdeb3f4e9fd0f1ac1beacf15a2ed
45,3,1497.0,2016-10-18 13:36:54,ec8ffe51ad388a6f7d75c35de0dd22d6
46,2,1900.0,2016-10-11 12:29:10,b3ad2626129ccc49f84d454056da9349
47,2,899.0,2016-09-26 13:02:34,d8d8933d3020b98a0745f2bfb371fe4b
48,2,1570.0,2016-09-14 16:39:42,d7973391ec6efffe5a1fa1b6457592e7
49,3,2998.0,2016-09-11 05:30:20,2ca7d6d17d36d27e280007615f154f34
50,1,163660.0,2016-08-20 23:32:44,65d462e250951b4515810cad20ab6bb3
51,3,6396.0,2016-08-02 18:09:23,778ce55c21711c7b762114ab46eb773f
52,2,2796.0,2016-07-30 18:09:15,a3e27ca846f63fa3513e4e529280dc3c
53,1,1000.0,2016-07-21 05:35:46,707ca813985f2681ee93adfb176610c6
54,1,5397.0,2016-05-11 07:06:12,323c24b0c69fcd645e679b5089022ad4
55,1,380.0,2016-05-06 16:28:20,550c88932682fb64aef25258e71bd57d
56,1,4998.0,2016-03-10 16:45:57,a3ca219ccf61e8e86d808da3de5773df
57,1,598.0,2015-09-17 19:56:45,4005b05333f5da2cb28e680550c8d9f0
58,1,6396.0,2015-09-03 03:52:20,0ef97693935c1afbceeffd8ebf647078
59,3,12600.0,2015-08-19 21:32:02,8590d35a3a2346c29f25f2ef6b77c248
60,1,7794.0,2015-08-15 12:11:37,d58c37958e0ae7a2af276a664d53ab5c
61,1,7196.0,2015-08-05 16:10:16,e0afd655e1942faa5eb2414e731ad2fb
62,3,1998.0,2015-07-18 23:22:37,f47b381555a154ebbf5cc82f04fd67a4
63,2,3598.0,2015-06-04 08:50:07,feec8f81bc749547cb3ddf590c5688b7
64,3,5200.0,2015-06-02 15:12:11,49be95b063f245dedb0a2671a934665d
65,2,2187.0,2015-05-15 21:43:17,db24219a83ecd96202fe30c195c983d0
66,2,2370.0,2015-05-11 21:50:12,9111699c77c97151df92cb96a1ecbcfa
67,2,1497.0,2015-05-11 04:24:17,5cf475b960105b99178231516c723179
68,3,10497.0,2015-05-07 01:19:34,1df76ec9bedf804d3ff622ee05cd663d
69,3,4440.0,2015-04-26 18:08:33,eefaf06423a51e3f64ca2ef1edc5182f
70,1,899.0,2015-04-16 09:36:20,5cc8a4384681d01611388e4fe5b7e4a4
71,3,1998.0,2015-03-21 04:35:54,a4fcd458dd2f433ee18ae78e87e3270c
72,1,1079.0,2015-03-19 00:54:00,4276ed6f8b02cdef652c2354b649dfaa
73,2,2547.0,2015-03-17 10:39:23,25150ede2c4db0075f2891bf32a9dda6
74,1,3960.0,2015-03-06 12:13:45,cb3c97009913df5ecc7faf278029b7a7
75,1,3570.0,2015-02-02 01:46:03,8ca1605461c0b29386ef27ce056e6605
76,1,3200.0,2015-01-13 15:22:24,24f04653b3a7cff149c09384ee35364a
77,2,4500.0,2015-01-09 06:42:39,0680f74b59bac631dd7c6d4a77d96c47
78,2,2220.0,2014-10-09 04:53:51,751997070d7fb94281b963fc3f654008
79,2,3800.0,2014-09-11 11:03:03,c550bcebf7936b194d3d3e594dc8c519
80,1,1198.0,2014-09-05 08:33:27,6ec8bdbfbfc8f1ece51082a4366246f6
81,2,999.0,2014-08-19 01:32:19,a6bd31d845e1161adb9109185fb460e5
